(initramfs) cat /dfs/dynamic_debug/control
# filename:lineno [module]function flags format
arch/x86/kernel/smpboot.c:806 [smpboot]wakeup_secondary_cpu_via_init =_ "Startup point 1\012"
arch/x86/kernel/smpboot.c:808 [smpboot]wakeup_secondary_cpu_via_init =_ "Waiting for send to fini"
arch/x86/kernel/smpboot.c:825 [smpboot]wakeup_secondary_cpu_via_init =_ "After Startup\012"
arch/x86/kernel/smpboot.c:593 [smpboot]impress_friends =_ "Before bogomips\012"
arch/x86/kernel/smpboot.c:602 [smpboot]impress_friends =_ "Before bogocount - setting activated=1"
arch/x86/kernel/tsc_sync.c:361 [tsc_sync]check_tsc_sync_source =_ "TSC synchronization [CPU#%d ->"
arch/x86/kernel/setup_percpu.c:113 [setup_percpu]pcpu_alloc_bootmem =_ "per cpu data for cpu%d %l"
arch/x86/kernel/setup_percpu.c:120 [setup_percpu]pcpu_alloc_bootmem =_ "per cpu data for cpu%d %l"
arch/x86/kernel/apic/vector.c:1189 [vector]print_PIC =_ "\012printing PIC contents\012"
arch/x86/kernel/apic/vector.c:1194 [vector]print_PIC =_ "... PIC  IMR: %04x\012"
arch/x86/kernel/apic/vector.c:1197 [vector]print_PIC =_ "... PIC  IRR: %04x\012"
arch/x86/kernel/apic/vector.c:1207 [vector]print_PIC =_ "... PIC  ISR: %04x\012"
arch/x86/kernel/apic/vector.c:1210 [vector]print_PIC =_ "... PIC ELCR: %04x\012"
arch/x86/kernel/apic/vector.c:1064 [vector]print_local_APIC =_ "printing local APIC contents on C"
arch/x86/kernel/apic/vector.c:1073 [vector]print_local_APIC =_ "... APIC TASKPRI: %08x (%02x)\012"
arch/x86/kernel/apic/vector.c:1080 [vector]print_local_APIC =_ "... APIC ARBPRI: %08x (%02x)\012"
arch/x86/kernel/apic/vector.c:1083 [vector]print_local_APIC =_ "... APIC PROCPRI: %08x\012"
arch/x86/kernel/apic/vector.c:1092 [vector]print_local_APIC =_ "... APIC RRR: %08x\012"
arch/x86/kernel/apic/vector.c:1096 [vector]print_local_APIC =_ "... APIC LDR: %08x\012"
arch/x86/kernel/apic/vector.c:1099 [vector]print_local_APIC =_ "... APIC DFR: %08x\012"
arch/x86/kernel/apic/vector.c:1102 [vector]print_local_APIC =_ "... APIC SPIV: %08x\012"
arch/x86/kernel/apic/vector.c:1104 [vector]print_local_APIC =_ "... APIC ISR field:\012"
arch/x86/kernel/apic/vector.c:1106 [vector]print_local_APIC =_ "... APIC TMR field:\012"
arch/x86/kernel/apic/vector.c:1108 [vector]print_local_APIC =_ "... APIC IRR field:\012"
arch/x86/kernel/apic/vector.c:1118 [vector]print_local_APIC =_ "... APIC ESR: %08x\012"
arch/x86/kernel/apic/vector.c:1122 [vector]print_local_APIC =_ "... APIC ICR: %08x\012"
arch/x86/kernel/apic/vector.c:1123 [vector]print_local_APIC =_ "... APIC ICR2: %08x\012"
arch/x86/kernel/apic/vector.c:1126 [vector]print_local_APIC =_ "... APIC LVTT: %08x\012"
arch/x86/kernel/apic/vector.c:1131 [vector]print_local_APIC =_ "... APIC LVTPC: %08x\012"
arch/x86/kernel/apic/vector.c:1134 [vector]print_local_APIC =_ "... APIC LVT0: %08x\012"
arch/x86/kernel/apic/vector.c:1136 [vector]print_local_APIC =_ "... APIC LVT1: %08x\012"
arch/x86/kernel/apic/vector.c:1141 [vector]print_local_APIC =_ "... APIC LVTERR: %08x\012"
arch/x86/kernel/apic/vector.c:1145 [vector]print_local_APIC =_ "... APIC TMICT: %08x\012"
arch/x86/kernel/apic/vector.c:1147 [vector]print_local_APIC =_ "... APIC TMCCT: %08x\012"
arch/x86/kernel/apic/vector.c:1149 [vector]print_local_APIC =_ "... APIC TDCR: %08x\012"
arch/x86/kernel/apic/vector.c:1154 [vector]print_local_APIC =_ "... APIC EFEAT: %08x\012"
arch/x86/kernel/apic/vector.c:1156 [vector]print_local_APIC =_ "... APIC ECTRL: %08x\012"
arch/x86/kernel/apic/vector.c:1159 [vector]print_local_APIC =_ "... APIC EILVT%d: %08x\012"
arch/x86/mm/init.c:477 [init]init_memory_mapping =_ "init_memory_mapping: [mem %#010lx-%#010lx]\0"
arch/x86/mm/init.c:431 [init]split_mem_range =_ " [mem %#010lx-%#010lx] page %s\012"
arch/x86/mm/init_64.c:324 [init_64]set_pte_vaddr =_ "set_pte_vaddr %lx to %lx\012"
arch/x86/mm/init_64.c:1276 [init_64]set_kernel_text_rw =_ "Set kernel text: %lx - %lx for read wr"
arch/x86/mm/init_64.c:1295 [init_64]set_kernel_text_ro =_ "Set kernel text: %lx - %lx for read on"
arch/x86/mm/init_64.c:1610 [init_64]vmemmap_populate_print_last =_ " [%lx-%lx] PMD -> [%p-%p] on "
arch/x86/mm/init_64.c:238 [init_64]spp_getpage =_ "spp_getpage %p\012"
arch/x86/mm/init_64.c:1499 [init_64]vmemmap_populate_hugepages =_ " [%lx-%lx] PMD -> [%p-%p] on n"
arch/x86/mm/numa.c:127 [numa]setup_node_to_cpumask_map =_ "Node to cpumask map for %u nodes\012"
arch/x86/mm/pti.c:580 [pti]pti_clone_kernel_text =_ "mapping partial kernel image into user addre"
arch/x86/platform/intel/iosf_mbi.c:332 [iosf_mbi]iosf_mbi_block_punit_i2c_access =_ "P-Unit semap"
arch/x86/platform/intel/iosf_mbi.c:370 [iosf_mbi]iosf_mbi_unblock_punit_i2c_access =_ "punit sema"
kernel/params.c:168 [params]parse_args =_ "doing %s, parsing ARGS: '%s'\012"
kernel/params.c:133 [params]parse_one =_ "handling %s with %p\012"
kernel/params.c:143 [params]parse_one =_ "doing %s: %s='%s'\012"
kernel/params.c:147 [params]parse_one =_ "Unknown argument '%s'\012"
kernel/async.c:293 [async]async_synchronize_cookie_domain =_ "async_waiting @ %i\012"
kernel/async.c:305 [async]async_synchronize_cookie_domain =_ "async_continuing @ %i after %lli us"
kernel/async.c:120 [async]async_run_entry_fn =_ "calling  %lli_%pS @ %i\012"
kernel/async.c:130 [async]async_run_entry_fn =_ "initcall %lli_%pS returned 0 after %lld usecs\01"
kernel/power/snapshot.c:1102 [snapshot]create_basic_memory_bitmaps =p "Basic memory bitmaps creat"
kernel/power/snapshot.c:1138 [snapshot]free_basic_memory_bitmaps =p "Basic memory bitmaps freed\0"
kernel/power/snapshot.c:1049 [snapshot]mark_nosave_pages =p "Marking nosave pages: [mem %#010llx-"
kernel/power/snapshot.c:1879 [snapshot]enough_free_mem =p "Normal pages needed: %u + %u, availabl"
kernel/power/swap.c:1500 [swap]swsusp_read =p "Image successfully loaded\012"
kernel/power/swap.c:1502 [swap]swsusp_read =p "Error %d resuming\012"
kernel/power/swap.c:1539 [swap]swsusp_check =p "Image signature found, resuming\012"
kernel/power/swap.c:1545 [swap]swsusp_check =p "Image not found (code %d)\012"
kernel/power/swap.c:1557 [swap]swsusp_close =p "Image device not initialised\012"
kernel/power/swap.c:885 [swap]enough_swap =p "Free swap pages: %u\012"
kernel/irq/manage.c:749 [manage]__irq_set_trigger =_ "No set_type function for IRQ %d (%s)\012"
kernel/irq/irqdomain.c:228 [irqdomain]__irq_domain_add =_ "Added domain %s\012"
kernel/irq/irqdomain.c:258 [irqdomain]irq_domain_remove =_ "Removed domain %s\012"
kernel/irq/irqdomain.c:455 [irqdomain]irq_set_default_host =_ "Default domain set to @0x%p\012"
kernel/irq/irqdomain.c:589 [irqdomain]irq_domain_associate_many =_ "%s(%s, irqbase=%i, hwbase=%i,"
kernel/irq/irqdomain.c:618 [irqdomain]irq_create_direct_mapping =_ "create_direct virq allocation"
kernel/irq/irqdomain.c:627 [irqdomain]irq_create_direct_mapping =_ "create_direct obtained virq %"
kernel/irq/irqdomain.c:654 [irqdomain]irq_create_mapping =_ "irq_create_mapping(0x%p, 0x%lx)\012"
kernel/irq/irqdomain.c:663 [irqdomain]irq_create_mapping =_ "-> using domain @%p\012"
kernel/irq/irqdomain.c:670 [irqdomain]irq_create_mapping =_ "-> existing mapping on virq %d\012"
kernel/irq/irqdomain.c:677 [irqdomain]irq_create_mapping =_ "-> virq allocation failed\012"
kernel/irq/irqdomain.c:687 [irqdomain]irq_create_mapping =_ "irq %lu on domain %s mapped to virtu"
kernel/irq/irqdomain.c:1332 [irqdomain]__irq_domain_alloc_irqs =_ "domain->ops->alloc() is NULL\0"
kernel/irq/irqdomain.c:1343 [irqdomain]__irq_domain_alloc_irqs =_ "cannot allocate IRQ(base %d, c"
kernel/irq/irqdomain.c:1349 [irqdomain]__irq_domain_alloc_irqs =_ "cannot allocate memory for IRQ"
kernel/irq/cpuhotplug.c:67 [cpuhotplug]migrate_one_irq =_ "IRQ %u: Unable to migrate away\012"
kernel/irq/msi.c:443 [msi]msi_domain_alloc_irqs =_ "irq %d for MSI\012"
kernel/irq/msi.c:446 [msi]msi_domain_alloc_irqs =_ "irq [%d-%d] for MSI\012"
kernel/freezer.c:69 [freezer]__refrigerator =_ "%s entered refrigerator\012"
kernel/freezer.c:87 [freezer]__refrigerator =_ "%s left refrigerator\012"
kernel/module.c:594 [module]find_symbol =_ "Failed to find symbol %s\012"
kernel/module.c:825 [module]already_uses =_ "%s uses %s!\012"
kernel/module.c:829 [module]already_uses =_ "%s does not use %s!\012"
kernel/module.c:844 [module]add_module_usage =_ "Allocating new usage for %s.\012"
kernel/module.c:992 [module]__do_sys_delete_module =_ "%s already dying\012"
kernel/module.c:886 [module]module_unload_free =_ "%s unusing %s\012"
kernel/module.c:3871 [module]__do_sys_init_module =_ "init_module: umod=%p, len=%lu, uargs=%p\012"
kernel/module.c:2362 [module]layout_sections =_ "Core section allocation order:\012"
kernel/module.c:2374 [module]layout_sections =_ "\011%s\012"
kernel/module.c:2395 [module]layout_sections =_ "Init section allocation order:\012"
kernel/module.c:2408 [module]layout_sections =_ "\011%s\012"
kernel/module.c:2614 [module]layout_symtab =_ "\011%s\012"
kernel/module.c:2641 [module]layout_symtab =_ "\011%s\012"
kernel/module.c:3170 [module]move_module =_ "final section addresses:\012"
kernel/module.c:3189 [module]move_module =_ "\0110x%lx %s\012"
kernel/module.c:2241 [module]simplify_symbols =_ "Common symbol: %s\012"
kernel/module.c:2250 [module]simplify_symbols =_ "Absolute symbol: 0x%08lx\012"
kernel/module.c:3891 [module]__do_sys_finit_module =_ "finit_module: fd=%d, uargs=%p, flags=%i\01"
kernel/cgroup/cgroup.c:5569 [cgroup]cgroup_init_subsys =_ "Initializing cgroup subsys %s\012"
mm/swapfile.c:1025 [swapfile]get_swap_pages =_ "scan_swap_map of si %d failed to find offset\012"
mm/mempolicy.c:2570 [mempolicy]mpol_set_shared_policy =_ "set_shared_policy %lx sz %lu %d %d %lx\"
mm/mempolicy.c:1222 [mempolicy]do_mbind =_ "mbind %lx-%lx mode:%d flags:%d nodes:%lx\012"
mm/mempolicy.c:680 [mempolicy]vma_replace_policy =_ "vma %lx-%lx/%lx vm_ops %p vm_file %p set_pol"
mm/mempolicy.c:248 [mempolicy]mpol_new =_ "setting mode %d flags %d nodes[0] %lx\012"
mm/mempolicy.c:2280 [mempolicy]sp_insert =_ "inserting %lx-%lx: %d\012"
mm/mempolicy.c:2410 [mempolicy]sp_delete =_ "deleting %lx-l%lx\012"
mm/sparse-vmemmap.c:128 [sparse_vmemmap]altmap_alloc_block_buf =_ "%s: pfn: %#lx alloc: %ld align"
fs/notify/fsnotify.c:266 [fsnotify]send_to_group =_ "%s: group=%p to_tell=%p mask=%x marks_mask=%"
fs/notify/notification.c:92 [notification]fsnotify_add_event =_ "%s: group=%p event=%p\012"
fs/notify/notification.c:153 [notification]fsnotify_remove_first_event =_ "%s: group=%p\012"
fs/notify/inotify/inotify_fsnotify.c:88 [inotify_fsnotify]inotify_handle_event =_ "%s: group=%p i"
fs/notify/inotify/inotify_user.c:231 [inotify_user]inotify_read =_ "%s: group=%p kevent=%p\012"
fs/notify/inotify/inotify_user.c:144 [inotify_user]get_one_event =_ "%s: group=%p event=%p\012"
fs/notify/inotify/inotify_user.c:173 [inotify_user]copy_event_to_user =_ "%s: group=%p event=%p\0"
fs/notify/inotify/inotify_user.c:289 [inotify_user]inotify_ioctl =_ "%s: group=%p cmd=%u\012"
fs/notify/inotify/inotify_user.c:269 [inotify_user]inotify_release =_ "%s: group=%p\012"
fs/aio.c:1327 [aio]__do_sys_io_setup =_ "EINVAL: ctx %lu nr_events %u\012"
fs/aio.c:729 [aio]ioctx_alloc =_ "ENOMEM: nr_events too high\012"
fs/aio.c:793 [aio]ioctx_alloc =_ "allocated ioctx %p[%ld]: mm=%p mask=0x%x\012"
fs/aio.c:809 [aio]ioctx_alloc =_ "error allocating ioctx %d\012"
fs/aio.c:588 [aio]free_ioctx =_ "freeing %p\012"
fs/aio.c:508 [aio]aio_setup_ring =_ "pid(%d) page[%d]->count=%d\012"
fs/aio.c:522 [aio]aio_setup_ring =_ "attempting mmap of %lu bytes\012"
fs/aio.c:540 [aio]aio_setup_ring =_ "mmap address: 0x%08lx\012"
fs/aio.c:315 [aio]aio_free_ring =_ "pid(%d) [%d] page->count=%d\012"
fs/aio.c:1358 [aio]__do_compat_sys_io_setup =_ "EINVAL: ctx %lu nr_events %u\012"
fs/aio.c:1409 [aio]__do_sys_io_destroy =_ "EINVAL: invalid context id\012"
fs/aio.c:1905 [aio]__do_sys_io_submit =_ "EINVAL: invalid context id\012"
fs/aio.c:1845 [aio]io_submit_one =_ "EINVAL: reserve field set\012"
fs/aio.c:1855 [aio]io_submit_one =_ "EINVAL: overflow check\012"
fs/aio.c:1803 [aio]__io_submit_one =_ "EFAULT: aio_key\012"
fs/aio.c:1828 [aio]__io_submit_one =_ "invalid aio operation %d\012"
fs/aio.c:1466 [aio]aio_prep_rw =_ "aio ioprio check cap error: %d\012"
fs/aio.c:1121 [aio]aio_complete =_ "%p[%u]: %p: %p %Lx %Lx %Lx\012"
fs/aio.c:1141 [aio]aio_complete =_ "added to ring %p at [%u]\012"
fs/aio.c:1947 [aio]__do_compat_sys_io_submit =_ "EINVAL: invalid context id\012"
fs/aio.c:1204 [aio]aio_read_events_ring =_ "h%u t%u m%u\012"
fs/aio.c:1248 [aio]aio_read_events_ring =_ "%li  h%u t%u\012"
fs/binfmt_misc.c:327 [binfmt_misc]create_entry =_ "register: received %zu bytes\012"
fs/binfmt_misc.c:348 [binfmt_misc]create_entry =_ "register: delim: %#x {%c}\012"
fs/binfmt_misc.c:365 [binfmt_misc]create_entry =_ "register: name: {%s}\012"
fs/binfmt_misc.c:370 [binfmt_misc]create_entry =_ "register: type: E (extension)\012"
fs/binfmt_misc.c:374 [binfmt_misc]create_entry =_ "register: type: M (magic)\012"
fs/binfmt_misc.c:400 [binfmt_misc]create_entry =_ "register: offset: %#x\012"
fs/binfmt_misc.c:421 [binfmt_misc]create_entry =_ "register:  mask[raw]: none\012"
fs/binfmt_misc.c:440 [binfmt_misc]create_entry =_ "register: magic/mask length: %i\012"
fs/binfmt_misc.c:482 [binfmt_misc]create_entry =_ "register: extension: {%s}\012"
fs/binfmt_misc.c:499 [binfmt_misc]create_entry =_ "register: interpreter: {%s}\012"
fs/binfmt_misc.c:285 [binfmt_misc]check_special_flags =_ "register: flag: P (preserve argv0)\012"
fs/binfmt_misc.c:290 [binfmt_misc]check_special_flags =_ "register: flag: O (open binary)\012"
fs/binfmt_misc.c:295 [binfmt_misc]check_special_flags =_ "register: flag: C (preserve creds)\012"
fs/binfmt_misc.c:303 [binfmt_misc]check_special_flags =_ "register: flag: F: open interpreter fil"
fs/kernfs/mount.c:239 [mount]kernfs_fill_super =_ "kernfs: could not get root inode\012"
fs/kernfs/mount.c:246 [mount]kernfs_fill_super =_ "%s: could not get root dentry!\012"
fs/kernfs/dir.c:1292 [dir]__kernfs_remove =_ "kernfs %s: removing\012"
fs/autofs/inode.c:55 [autofs4]autofs_kill_sb =_ "shutting down\012"
fs/autofs/inode.c:234 [autofs4]autofs_fill_super =_ "starting up, sbi = %p\012"
fs/autofs/inode.c:322 [autofs4]autofs_fill_super =_ "pipe fd = %d, pgrp = %u\012"
fs/autofs/root.c:102 [autofs4]autofs_dir_open =_ "file=%p dentry=%p %pd\012"
fs/autofs/root.c:132 [autofs4]autofs_dentry_release =_ "releasing %p\012"
fs/autofs/root.c:339 [autofs4]autofs_d_automount =_ "dentry=%p %pd\012"
fs/autofs/root.c:272 [autofs4]autofs_mount_wait =_ "waiting for mount name=%pd\012"
fs/autofs/root.c:274 [autofs4]autofs_mount_wait =_ "mount wait done status=%d\012"
fs/autofs/root.c:427 [autofs4]autofs_d_manage =_ "dentry=%p %pd\012"
fs/autofs/root.c:504 [autofs4]autofs_lookup =_ "name = %pd\012"
fs/autofs/root.c:515 [autofs4]autofs_lookup =_ "pid = %u, pgrp = %u, catatonic = %d, oz_mode = %d"
fs/autofs/root.c:558 [autofs4]autofs_dir_symlink =_ "%s <- %pd\012"
fs/autofs/root.c:709 [autofs4]autofs_dir_rmdir =_ "dentry %p, removing %pd\012"
fs/autofs/root.c:766 [autofs4]autofs_dir_mkdir =_ "dentry %p, creating %pd\012"
fs/autofs/root.c:897 [autofs4]autofs_root_ioctl_unlocked =_ "cmd = 0x%08x, arg = 0x%08lx, sbi = %"
fs/autofs/root.c:868 [autofs4]autofs_ask_umount =_ "may umount %d\012"
fs/autofs/waitq.c:25 [autofs4]autofs_catatonic_mode =_ "entering catatonic mode\012"
fs/autofs/waitq.c:460 [autofs4]autofs_wait =_ "new wait id = 0x%08lx, name = %.*s, nfy=%d\012"
fs/autofs/waitq.c:470 [autofs4]autofs_wait =_ "existing wait id = 0x%08lx, name = %.*s, nfy=%d\01"
fs/autofs/waitq.c:93 [autofs4]autofs_notify_daemon =_ "wait id = 0x%08lx, name = %.*s, type=%d\01"
fs/autofs/expire.c:556 [autofs4]autofs_expire_wait =_ "waiting for expire %p name=%pd\012"
fs/autofs/expire.c:561 [autofs4]autofs_expire_wait =_ "expire done status=%d\012"
fs/autofs/expire.c:520 [autofs4]autofs_expire_indirect =_ "returning %p %pd\012"
fs/autofs/expire.c:379 [autofs4]should_expire =_ "checking mountpoint %p %pd\012"
fs/autofs/expire.c:398 [autofs4]should_expire =_ "checking symlink %p %pd\012"
fs/autofs/expire.c:36 [autofs4]autofs_mount_busy =_ "dentry %p %pd\012"
fs/autofs/expire.c:68 [autofs4]autofs_mount_busy =_ "returning = %d\012"
fs/autofs/expire.c:229 [autofs4]autofs_tree_busy =_ "top %p %pd\012"
fs/autofs/expire.c:237 [autofs4]autofs_tree_busy =_ "dentry %p %pd\012"
fs/autofs/expire.c:287 [autofs4]autofs_check_leaves =_ "parent %p %pd\012"
fs/autofs/expire.c:291 [autofs4]autofs_check_leaves =_ "dentry %p %pd\012"
fs/autofs/expire.c:194 [autofs4]autofs_direct_busy =_ "top %p %pd\012"
fs/debugfs/inode.c:288 [debugfs]start_creating =_ "debugfs: creating file '%s'\012"
fs/tracefs/inode.c:320 [tracefs]start_creating =_ "tracefs: creating file '%s'\012"
security/selinux/hooks.c:7038 [selinux]selinux_complete_init =_ "SELinux:  Completing initializat"
security/selinux/hooks.c:7041 [selinux]selinux_complete_init =_ "SELinux:  Setting up existing su"
security/selinux/hooks.c:7022 [selinux]selinux_init =_ "SELinux:  Starting in enforcing mode\012"
security/selinux/hooks.c:7024 [selinux]selinux_init =_ "SELinux:  Starting in permissive mode\012"
security/selinux/hooks.c:7122 [selinux]selinux_nf_ip_init =_ "SELinux:  Registering netfilter hoo"
security/selinux/hooks.c:7135 [selinux]selinux_nf_ip_exit =_ "SELinux:  Unregistering netfilter h"
security/selinux/ss/avtab.c:340 [selinux]avtab_alloc =_ "SELinux: %d avtab hash slots, %d rules.\"
security/selinux/ss/avtab.c:372 [selinux]avtab_hash_eval =_ "SELinux: %s:  %d entries and %d/%d b"
security/selinux/ss/policydb.c:508 [selinux]policydb_index =_ "SELinux:  %d users, %d roles, %d t"
security/selinux/ss/policydb.c:512 [selinux]policydb_index =_ "SELinux:  %d users, %d roles, %d t"
security/selinux/ss/policydb.c:515 [selinux]policydb_index =_ "SELinux:  %d classes, %d rules\012"
crypto/asymmetric_keys/asymmetric_type.c:83 [asymmetric_keys]find_asymmetric_key =_ "Look up: \04"
crypto/asymmetric_keys/asymmetric_type.c:88 [asymmetric_keys]find_asymmetric_key =_ "Request for "
crypto/asymmetric_keys/asymmetric_type.c:108 [asymmetric_keys]find_asymmetric_key =_ "First ID ma"
crypto/asymmetric_keys/asymmetric_type.c:112 [asymmetric_keys]find_asymmetric_key =_ "First ID ma"
crypto/asymmetric_keys/asymmetric_type.c:383 [asymmetric_keys]asymmetric_key_preparse =_ "Trying "
crypto/asymmetric_keys/asymmetric_type.c:388 [asymmetric_keys]asymmetric_key_preparse =_ "Parser "
crypto/asymmetric_keys/x509_cert_parser.c:166 [x509_key_parser]x509_note_OID =_ "Unknown OID: [%l"
crypto/asymmetric_keys/x509_cert_parser.c:182 [x509_key_parser]x509_note_tbs_certificate =_ "x509"
crypto/asymmetric_keys/x509_cert_parser.c:198 [x509_key_parser]x509_note_pkey_algo =_ "PubKey Alg"
crypto/asymmetric_keys/x509_cert_parser.c:260 [x509_key_parser]x509_note_signature =_ "Signature "
crypto/asymmetric_keys/x509_cert_parser.c:484 [x509_key_parser]x509_process_extension =_ "Extensi"
crypto/asymmetric_keys/x509_cert_parser.c:501 [x509_key_parser]x509_process_extension =_ "subjkey"
